,Timeline,Identity,Value,Role,Title
0,1,Kesa,0.3157894736842105,Love,Jigoku Mon
1,1,Moritoo,0.6842105263157895,Protagonist,Jigoku Mon
2,1,Jeff,0.8333333333333334,Protagonist,Human Desire
3,1,Carl,0.16666666666666666,Rival,Human Desire
4,1,Zhanwu,0.5,Protagonist,Our Village
5,1,Keming,0.4,Rival,Our Village
6,1,Shuzhen,0.1,Love,Our Village
7,1,Fan,0.4891304347826087,Love,Cliff
8,1,Fang,0.5108695652173914,Protagonist,Cliff
9,1,Jin,0.3333333333333333,Protagonist,Waves of Life
10,1,Ye,0.25,Love,Waves of Life
11,1,Bo,0.4166666666666667,Rival,Waves of Life
12,1,Suhua,0.5526315789473685,Protagonist,Diary of Nurse
13,1,Haoru,0.23684210526315788,Rival,Diary of Nurse
14,1,Changping,0.21052631578947367,Love,Diary of Nurse
15,1,Pearl,0.9791666666666666,Protagonist,Duel in the Sun
16,1,Jesse,0.020833333333333332,Rival,Duel in the Sun
17,1,Will,0.6,Protagonist,The Man from Laramie
18,1,Barbara,0.4,Love,The Man from Laramie
19,1,Nishida,0.5714285714285714,Protagonist,Black River
20,1,Hitokiri,0.35714285714285715,Rival,Black River
21,1,Shizuko,0.07142857142857142,Love,Black River
22,1,Alicia,0.672316384180791,Protagonist,Notorious
23,1,Devlin,0.327683615819209,Love,Notorious
24,1,Curly,0.5074626865671642,Protagonist,Oklahoma
25,1,Laurey,0.47761194029850745,Love,Oklahoma
26,1,Jud,0.014925373134328358,Rival,Oklahoma
27,1,Natsuhisa,0.4157303370786517,Rival,Kurutta Kajitsu
28,1,Haruji,0.5617977528089888,Protagonist,Kurutta Kajitsu
29,1,Eri,0.02247191011235955,Love,Kurutta Kajitsu
30,1,Mohei,0.08333333333333333,Protagonist,Chikamatsu Story
31,1,Osan,0.3611111111111111,Love,Chikamatsu Story
32,1,Ishun,0.5555555555555556,Rival,Chikamatsu Story
33,1,Johnny,0.8859649122807017,Protagonist,Gilda
34,1,Ballin,0.11403508771929824,Rival,Gilda
35,1,Morgana,0.875,Love,Vikings
36,1,Einar,0.125,Rival,Vikings
37,1,Sabrina,0.8135593220338984,Protagonist,Sabrina
38,1,David,0.1016949152542373,Rival,Sabrina
39,1,Linus,0.0847457627118644,Love,Sabrina
40,1,Wataru,0.0,Rival,Jigoku Mon
41,1,Professor,0.0,Rival,Cliff
42,1,Vic,0.0,Rival,The Man from Laramie
43,1,Alex,0.0,Rival,Notorious
44,2,Kesa,0.14285714285714285,Love,Jigoku Mon
45,2,Moritoo,0.6071428571428571,Protagonist,Jigoku Mon
46,2,Wataru,0.25,Rival,Jigoku Mon
47,2,Jeff,0.18421052631578946,Protagonist,Human Desire
48,2,Vicki,0.3684210526315789,Love,Human Desire
49,2,Carl,0.4473684210526316,Rival,Human Desire
50,2,Shuzhen,0.37662337662337664,Love,Our Village
51,2,Zhanwu,0.5324675324675324,Protagonist,Our Village
52,2,Keming,0.09090909090909091,Rival,Our Village
53,2,Fan,0.49612403100775193,Love,Cliff
54,2,Fang,0.3023255813953488,Protagonist,Cliff
55,2,Professor,0.20155038759689922,Rival,Cliff
56,2,Ye,0.47058823529411764,Love,Waves of Life
57,2,Jin,0.35294117647058826,Protagonist,Waves of Life
58,2,Bo,0.17647058823529413,Rival,Waves of Life
59,2,Haoru,0.4725274725274725,Rival,Diary of Nurse
60,2,Suhua,0.4065934065934066,Protagonist,Diary of Nurse
61,2,Changping,0.12087912087912088,Love,Diary of Nurse
62,2,Pearl,0.6514285714285715,Protagonist,Duel in the Sun
63,2,Jesse,0.15428571428571428,Rival,Duel in the Sun
64,2,Lewt,0.19428571428571428,Love,Duel in the Sun
65,2,Barbara,0.37777777777777777,Love,The Man from Laramie
66,2,Will,0.6222222222222222,Protagonist,The Man from Laramie
67,2,Nishida,0.7142857142857143,Protagonist,Black River
68,2,Hitokiri,0.2857142857142857,Rival,Black River
69,2,Alicia,0.6116071428571429,Protagonist,Notorious
70,2,Devlin,0.38839285714285715,Love,Notorious
71,2,Curly,0.12,Protagonist,Oklahoma
72,2,Jud,0.08,Rival,Oklahoma
73,2,Laurey,0.8,Love,Oklahoma
74,2,Haruji,0.34615384615384615,Protagonist,Kurutta Kajitsu
75,2,Natsuhisa,0.40384615384615385,Rival,Kurutta Kajitsu
76,2,Eri,0.25,Love,Kurutta Kajitsu
77,2,Ishun,0.265625,Rival,Chikamatsu Story
78,2,Osan,0.03125,Love,Chikamatsu Story
79,2,Mohei,0.703125,Protagonist,Chikamatsu Story
80,2,Johnny,0.5602836879432624,Protagonist,Gilda
81,2,Ballin,0.18439716312056736,Rival,Gilda
82,2,Gilda,0.2553191489361702,Love,Gilda
83,2,Einar,0.7380952380952381,Rival,Vikings
